"Job","Location","Salary","Status","Experience","Perusahaan"
"Data Scientist","Jakarta","16800000","Full-Time","2","Bank OCBC NISP"
"Data Scientist","Jakarta","8250000","Full-Time","2","BFI Finance"
"Data Scientist","Jakarta","12030000","Full-Time","2","Home Credit International"
"Data Scientist","Jakarta","15615000","Full-Time","2","Employers"
"Data Scientist","Jakarta","18076000","Full-Time","2","Grab"
"Data Scientist","Jakarta","15070000","Full-Time","2","Dana"
"Data Scientist","Jakarta","13672000","Full-Time","2","Ovo"
"Data Scientist","Jakarta","20900000","Full-Time","3","XL Axiata"
"Data Scientist","Jakarta","7500000","Full-Time","1","Kalbe Farma"
"Data Scientist","Jakarta","8935000","Full-Time","1","Metrodata"
"Data Scientist","Jakarta","17900000","Full-Time","2","Allianz"
"Data Scientist","Jakarta","8404000","Full-Time","2","Mami"
"Data Scientist","Jakarta","13760000","Full-Time","2","Sinar Mas Group"
"Data Scientist","Jakarta","17300000","Full-Time","2","Kompas Gramedia"
"Data Scientist","Jakarta","17327000","Full-Time","2","CIMB Group"
"Data Scientist","Jakarta","25370000","Full-Time","2","Indosat Ooredoo"
"Data Scientist","Jakarta","7025000","Full-Time","1","Kumparan"
"Data Scientist","Jakarta","3121000","Full-Time","1","Manulife"
"Data Scientist","Jakarta","20835000","Full-Time","2","PWC"
"Data Scientist","Jakarta","15205000","Full-Time","2","EY"
"Data Scientist","Jakarta","20000000","Full-Time","2","Unilever"
"Data Scientist","Surabaya","4820000","Full-Time","1","Ruangguru.com"
"Data Scientist","Surabaya","5000000","Full-Time","1","Pertamina"
"Data Scientist","Surabaya","1613000","Full-Time","1","Bank Mandiri"
"Data Scientist","Surabaya","3000000","Full-Time","1","UniCase"
"Data Scientist","Surabaya","12450000","Full-Time","2","Bitlabs Academy"
"Data Engineer","Jakarta","8000000","Full-Time","2","PT Fortress Data Services"
"Data Engineer","Jakarta","8000000","Full-Time","2","IlmuOne Data"
"Data Engineer","Jakarta","5000000","Contract","2","IlmuOne Data"
"Data Engineer","Jakarta","130000000","Full-Time","5","Globelise"
"Data Engineer","Jakarta","27000000","Full-Time","5","Reeracoen Indonesia"
"Data Engineer","Jakarta","18000000","Contract","3","PT. Diksha Teknologi"
"Data Engineer","Jakarta","25000000","Full-Time","7","Reeracoen Indonesia"
"Data Engineer","Jakarta","9000000","Full-Time","2","PT Niagaprima Paramitra"
"Data Engineer","Jakarta","6000000","Full-Time","2","Talent Creative IND"
"Data Engineer","Jakarta","6000000","Contract","2","Talent Creative IND"
"Data Engineer","Yogyakarta","2500000","Full-Time","1","Widya Matador"
"Data Engineer","Jakarta","20000000","Full-Time","5","Gohire Indonesia"
"Data Engineer","Jakarta","6200000","Full-Time","2","PT Sigma Solusi Servis"
"Data Engineer","Jakarta","4500000","Full-Time","1","Voltras Group"
"Data Engineer","Jakarta","15000000","Contract","3","Techtiera Sdn Bhd"
"Data Engineer","Karawang","6000000","Full-Time","1","PT Gaya Sukses Mandiri Kaseindo (Safeway Group)"
"Data Engineer","Jakarta","27000000","Full-Time","3","Dynamic Technology Lab Pte Ltd"
"Data Engineer","Surabaya","4500000","Full-Time","1","PT Mitra Manajemen"
"Data Engineer","Surabaya","3000000","Contract","1","PT Mitra Manajemen"
"Data Engineer","Jakarta","15000000","Full-Time","3","PT Anura Teknologi Finansial"
"Data Engineer","Jakarta","5000000","Full-Time","1","PT. Kwadran Lima Mitra Kaya Solusi"
"Data Engineer","Jakarta","5000000","Full-Time","1","ELABRAM SYSTEMS"
"Data Engineer","Jakarta","4600000","Contract","1","ELABRAM SYSTEMS"
"Data Engineer","Jakarta","8250000","Contract","2","Phitomas Sdn Bhd"
"Data Engineer","Yogyakarta","3000000","Contract","1","PT Personel Alih Daya (PERSADA)"
"Data Engineer","Bogor","5000000","Contract","1","PT Arkanindoplast Utama"
"Data Engineer","Jakarta","4500000","Contract","2","SMC GROUP"
"Data Engineer","Jakarta","9000000","Full-Time","3","PT Asta Protek Jiarsi"
"Data Engineer","Jakarta","8000000","Full-Time","3","Nomura Research Institute Indonesia"
"Data Engineer","Jakarta","7000000","Full-Time","2","PT. NTT DATA Indonesia"
"Data Engineer","Surabaya","7500000","Full-Time","2","PT Bimasakti Multi Sinergi"
"Data Engineer","Jakarta","1000000","Full-Time","1","Klik Digital Sinergi"
"Data Engineer","Surabaya","6000000","Full-Time","2","PT Sarana Maju Lestari"
"Data Engineer","Jakarta","11000000","Full-Time","2","Silvertech Asia "
"Data Engineer","Jakarta","7000000","Full-Time","2","SIGMATECH"
"Data Engineer","Jakarta","5500000","Full-Time","1","PT Asta Protek Jiarsi"
"Data Engineer","Jakarta","12000000","Full-Time","2","Moonlay Technologies"
"Data Engineer","Jakarta","10000000","Full-Time","2","PT I Like Gym Indonesia"
"Data Engineer","Jakarta","5500000","Full-Time","1","PT Bawana Margatama"
"Data Engineer","Jakarta","20000000","Full-Time","5","Pt Vanz Inovatif Teknologi (qbit)"
"Data Engineer","Jakarta","15000000","Contract","3","Scout.inc "
"Data Engineer","Jakarta","8000000","Full-Time","2","Thinkmatch"
"Data Engineer","Jakarta","10000000","Full-Time","2","Virtue Consulting Partners"
"Data Engineer","Jakarta","10000000","Full-Time","2","PT Bawana Margatama"
"Data Engineer","Jakarta","10000000","Full-Time","2","PT Indopasifik Teknologi Medika Indonesia"
"Data Engineer","Jakarta","8000000","Full-Time","2","PT. Asian Sigma Technology"
"Data Engineer","Jakarta","12000000","Full-Time","2","Mythic Protocol"
"Data Engineer","Jakarta","12000000","Full-Time","2","PT Maxmar Akuakultur 1st"
"Data Engineer","Jakarta","8000000","Full-Time","2","PT Avows Technologies"
"Data Engineer","Jakarta","20000000","Full-Time","3","PT. Rekruter Digital Indonesia"
"Data Engineer","Jakarta","8000000","Full-Time","2","Perqara"
"Data Engineer","Jakarta","5500000","Full-Time","1","PT Bawana Margatama"
"Data Engineer","Jakarta","10000000","Full-Time","3","Brainworx Solusi Integrasi"
"Data Engineer","Jakarta","7000000","Full-Time","2","PT Asta Protek Jiarsi"
"Data Engineer","Jakarta","20000000","Full-Time","3","PT. Vlink Consulting Indonesia"
"Data Engineer","Jakarta","8000000","Full-Time","2","Vesperia Global Merdeka"
"Data Engineer","Jakarta","8000000","Full-Time","2","PT Verita Informatika"
"Data Engineer","Jakarta","7000000","Full-Time","2","PT. ALL DATA INTERNATIONAL"
"Data Engineer","Jakarta","15000000","Full-Time","3","Pt Komunitas Anak Bangsa"
"Data Engineer","Jakarta","10000000","Full-Time","1","PT Dapur Rumah Sejahtera"
"Data Engineer","Jakarta","13000000","Full-Time","2","PT Dapur Rumah Sejahtera"
"Data Engineer","Jakarta","15000000","Full-Time","3","PT Dapur Rumah Sejahtera"
"Data Engineer","Jakarta","12000000","Full-Time","2","PT Code Development Indonesia"
"Data Engineer","Jakarta","35000000","Full-Time","5","Aliz"
"Data Engineer","Jakarta","45000000","Full-Time","8","Aliz"
"Data Engineer","Jakarta","55000000","Full-Time","10","Aliz"
"Data Engineer","Jakarta","15000000","Full-Time","3","PT Teknologi Usaha Nusantara (Broom.id)"
"Data Engineer","Jakarta","20000000","Full-Time","4","PT Teknologi Usaha Nusantara (Broom.id)"
"Data Engineer","Jakarta","25000000","Full-Time","5","PT Teknologi Usaha Nusantara (Broom.id)"
"Data Engineer","Jakarta","8000000","Full-Time","1","PT. Nawa Data Solutions"
"Data Engineer","Jakarta","9000000","Full-Time","2","PT. Nawa Data Solutions"
"Data Engineer","Jakarta","10000000","Full-Time","3","PT. Nawa Data Solutions"
"Data Engineer","Jakarta","5000000","Full-Time","2","MySooltan"
"Data Engineer","Jakarta","8000000","Full-Time","2","PT Rapid Teknologi Indonesia"
"Data Engineer","Jakarta","7000000","Full-Time","2","PT Equine Global"
"Data Engineer","Jakarta","8500000","Full-Time","1","PT Indocyber Global Teknologi"
"Data Engineer","Jakarta","14000000","Full-Time","2","Stanford Teknologi Indonesia"
"Data Engineer","Jakarta","12000000","Full-Time","2","PT. ALPHA INDO SOFT"
"Data Engineer","Jakarta","10000000","Full-Time","1","PT Talentvis Consulting Indonesia"
"Data Engineer","Jakarta","20000000","Full-Time","2","PT Talentvis Consulting Indonesia"
"Data Engineer","Jakarta","15000000","Full-Time","5","PT. Elabram Systems"
"Data Engineer","Jakarta","7000000","Full-Time","2","PT Essei Perbama"
"Data Engineer","Surabaya","4500000","Full-Time","1","PT Bimasakti Multi Sinergi"
